Brand,Memory,Storage,Rating,Selling Price,Cluster,Price Change,Rating Change,Elasticity
Apple,3,32,4.5,36999,Cluster 2,-0.137552448,0,0
Apple,3,32,4.5,36999,Cluster 2,-0.288480769,0.022727273,-0.078782627
Apple,3,32,4.5,36999,Cluster 2,-0.486125,0.022727273,-0.046751911
realme,12,256,4.6,36999,Cluster 0,2.083506959,0.022222222,0.010665778
SAMSUNG,3,32,4,37299,Cluster 1,1.702826087,-0.069767442,-0.04097156
SAMSUNG,8,128,4.5,37499,Cluster 0,1.366912832,0.153846154,0.112550084
SAMSUNG,8,128,4.5,37499,Cluster 0,2.318789273,0.046511628,0.020058583
SAMSUNG,8,128,4.5,37499,Cluster 0,1.345299894,0.153846154,0.114358259
SAMSUNG,8,128,4.3,37499,Cluster 0,0.250008334,-0.022727273,-0.090906061
vivo,6,64,4.4,37990,Cluster 0,-0.050012503,0,0
IQOO,8,256,4.4,37990,Cluster 0,0.085738783,0,0
SAMSUNG,8,256,4.3,37999,Cluster 0,0.900045002,0,0
SAMSUNG,8,256,4.3,37999,Cluster 0,5.128870968,0.228571429,0.044565642
SAMSUNG,6,128,4.3,37999,Cluster 0,0.80956236,0,0
SAMSUNG,8,256,4.3,37999,Cluster 0,2.654101356,0,0
SAMSUNG,6,128,4.3,37999,Cluster 0,4.032980132,0.075,0.01859667
SAMSUNG,8,256,4.3,37999,Cluster 0,0.703991031,-0.022727273,-0.032283469
ASUS,4,64,3.6,37999,Cluster 1,2.166847237,-0.1,-0.04615
realme,8,128,4.3,37999,Cluster 0,0.520020801,-0.022727273,-0.043704545
HTC,3,32,3.9,38800,Cluster 1,3.045881126,0.054054054,0.017746607
SAMSUNG,4,32,3.9,38900,Cluster 1,0.16119403,-0.071428571,-0.443121693
Xiaomi,8,256,4.2,38950,Cluster 0,-0.026225656,-0.045454545,1.733209117
vivo,8,128,4.3,38990,Cluster 0,0.114318377,-0.022727273,-0.198806818
OPPO,8,256,4.4,38990,Cluster 0,1.477285723,0.073170732,0.049530521
OPPO,6,128,4.5,38990,Cluster 0,1.053185887,0.022727273,0.021579545
OPPO,6,128,4.5,38990,Cluster 0,1.053185887,0.046511628,0.044162791
OPPO,8,256,4.4,38990,Cluster 0,2.902902903,0.047619048,0.016403941
Apple,2,64,4.5,38999,Cluster 0,-0.710904374,-0.042553191,0.059857828
Apple,2,64,4.7,38999,Cluster 0,-0.722031361,0.02173913,-0.030108291
Apple,2,64,4.7,38999,Cluster 0,-0.722031361,0.02173913,-0.030108291
Apple,2,64,4.5,38999,Cluster 0,-0.370983871,0,0
Xiaomi,8,256,4.4,38999,Cluster 0,0.001258023,0.047619048,37.85228377
OPPO,8,128,3.7,38999,Cluster 1,6.801360272,-0.026315789,-0.003869195
ASUS,6,128,4.3,38999,Cluster 0,1.166731485,0,0
